Amostra,Areia (X1),Sedimentos (X2),Argila (X3),Material Orgânico (X4)
1,79.9,13.9,6.2,3.3
2,78.5,16.3,7.2,2.5
3,68.9,22.6,8.5,3.6
4,62.2,20.2,17.6,2.8
5,69.2,23.7,7.1,0.9
6,67.8,19.8,12.4,3.8
7,61.3,24.9,13.8,2.2
8,71.6,19.2,9.2,3.6
9,83.7,10.5,5.8,4.4
10,67.1,26.5,6.4,1.4
11,59.8,27.9,12.3,3.5
12,66.7,23.2,10.1,2.9
13,72.8,14.5,12.7,1.9
14,60.9,28.9,10.2,1.5
15,61.4,29.2,9.4,2.5
16,75,16.8,8.2,3.1
17,80.5,11.9,7.6,3.8
18,71.3,18.5,10.2,2.6
19,56.6,28.9,14.5,2.8
20,55.9,32.8,11.3,3.1
21,61.5,28.1,10.4,2.7
22,59.2,28.4,12.4,2.8
23,76.9,16.3,6.8,2.9
24,58,27.6,14.4,3.4
